area_cineunesco,carrera_estandar,cohorte_2005_a,cohorte_2006_a,cuarto_ano,duracion_esperada_del_plan_de_estudios_semestres,duracion_real_de_la_carrera_semestres,emplea_1_2015,emplea_1_2016,emplea_1_2017,emplea_1_2018,emplea_1_2019,emplea_2_2015,emplea_2_2016,emplea_2_2017,emplea_2_2018,emplea_2_2019,es_tecnico,estudiantes_adm_delegada_matricula,estudiantes_establecimientos_municipales_matricula_2011,estudiantes_particular_pagado_matricula_2011,estudiantes_particular_subvencionado_matricula_2011,id_api,id_area_cineunesco,id_estadisticas,id_tipo_institucion,ingreso_ano_1,ingreso_ano_10,ingreso_ano_2,ingreso_ano_3,ingreso_ano_4,ingreso_ano_5,ingreso_ano_6,ingreso_ano_7,ingreso_ano_8,ingreso_ano_9,ingresos_4_2015,ingresos_4_2016,ingresos_4_2017,ingresos_4_2018,ingresos_4_2019,matricula_de_1er_ano_2011,matricula_femenina_1er_ano_2011,matricula_femenina_2011,matricula_masculina_1er_ano_2011,matricula_masculina_2011,matricula_total_2011,mayor_a_1000000_a_1500000,mayor_a_1500000_a_2000000,mayor_a_2000000_a_2500000,mayor_a_2500000_a_3000000,mayor_a_3000000,mayor_a_500000_a_1000000,menor_a_500000,n_de_titulados_2010,n_de_titulados_femenino_2010,n_de_titulados_masculino_2010,percentil10_a,percentil10_b,percentil25_a,percentil25_b,percentil50_a,percentil50_b,percentil75_a,percentil75_b,percentil90_a,percentil90_b,primer_ano,quinto_ano,segundo_ano,tasa_de_retencion_1er_ano_cohorte_2009,tasa_de_retencion_2do_ano_cohorte_2009,tercer_ano,tipo_institucion
Administración y Comercio,Secretariado Bilingüe,0.754,0.739,1136314,6.00,7.20,0.701,0.716,0.783,0.836,0.595,0.749,0.748,0.808,0.667,0.677,1,6.00000,44.00000,28.00000,133.00000,1,1,1,1,,,,,,,,,,,1072578.000,1114986.000,1052700.000,1185675.000,1223330.000,138,123,271,15,27,298,0,0,0,0,0,0,0,37,35,2,662930,642467,761869,822712,1017025,1000902,1458946,1522462,1890400,1979601,1031118,1166458,1096161,0.638,,1113420,Centro de Formación Técnica
Agropecuaria,Técnico Agropecuario,0.483,0.551,997009,4.60,6.70,0.413,0.505,0.490,0.438,0.509,0.527,0.560,0.596,0.534,0.538,1,197.00000,1379.00000,61.00000,1181.00000,2,2,2,1,,,,,,,,,,,949434.000,933116.000,981849.000,971452.000,1054268.000,1428,683,1426,745,1639,3065,0,0,0,0,0,0,0,1094,515,579,551775,578709,636630,700736,755239,907311,958329,1208673,1345623,1630050,847957,1031961,884213,0.665,,935086,Centro de Formación Técnica
Educación,Técnico Asistente del Educador de Párvulos,0.350,0.449,688296,5.00,6.10,0.326,0.308,0.390,0.344,0.303,0.459,0.411,0.450,0.456,0.441,1,338.00000,4698.00000,47.00000,3973.00000,3,7,3,1,,,,,,,,,,,699656.000,694307.000,674155.000,684156.000,712168.000,3985,3967,10206,18,30,10236,0,0,0,0,0,0,0,2501,2495,6,524986,536430,554594,585010,618218,686243,724572,798552,846621,929580,644644,711830,669809,0.725,,677572,Centro de Formación Técnica
Educación,Técnico Asistente del Educador Diferencial,0.320,0.440,655974,5.00,6.40,0.279,0.228,0.325,0.348,0.286,0.499,0.366,0.390,0.446,0.466,1,127.00000,2096.00000,25.00000,1739.00000,4,7,4,1,,,,,,,,,,,698602.000,678993.000,641607.000,649440.000,686905.000,1715,1654,4414,61,156,4570,0,0,0,0,0,0,0,1105,1065,40,524841,535403,558425,569860,612891,647272,715889,770456,841848,955081,620473,708506,646879,0.742,,655864,Centro de Formación Técnica
Salud,Técnico Dental y Asistente de Odontología,0.540,0.590,764440,5.00,6.10,0.291,0.562,0.612,0.531,0.455,0.402,0.595,0.606,0.587,0.587,1,96.00000,1289.00000,14.00000,1340.00000,5,9,5,1,,,,,,,,,,,768186.000,784931.000,770937.000,747838.000,781639.000,1093,914,2478,179,392,2870,0,0,0,0,0,0,0,825,735,90,533958,546147,569097,632402,625593,740415,712310,857914,817939,1027054,657951,801110,694370,0.721,,725073,Centro de Formación Técnica
Agropecuaria,Técnico en Acuicultura y Pesca,0.851,0.868,1431509,5.00,6.60,,,,,,,,,,,1,1.00000,162.00000,1.00000,170.00000,6,2,6,1,,,,,,,,,,,,,,,,166,67,163,99,191,354,0,0,0,0,0,0,0,67,26,41,693680,781244,856532,975926,1221749,1399105,1599006,1755713,2076737,1940236,1303716,1528200,1361160,0.837,,1485977,Centro de Formación Técnica
Administración y Comercio,Técnico en Administración de Empresas,0.618,0.680,1191714,4.50,6.30,0.588,0.647,0.632,0.616,0.604,0.661,0.689,0.731,0.657,0.665,1,342.00000,4658.00000,335.00000,4850.00000,7,1,7,1,,,,,,,,,,,1300312.000,1235202.000,1199352.000,1178422.000,1199366.000,6068,3808,7873,2260,4444,12317,0,0,0,0,0,0,0,3401,2229,1172,566007,627221,670651,793214,851124,1062350,1125683,1479039,1478676,2062576,971478,1266311,1037094,0.674,,1094559,Centro de Formación Técnica
Administración y Comercio,Técnico en Administración de Recursos Humanos y Personal,0.691,0.725,1075790,5.00,5.90,0.616,0.673,0.695,0.690,0.686,0.642,0.687,0.763,0.716,0.701,1,56.00000,417.00000,16.00000,428.00000,8,1,8,1,,,,,,,,,,,1053647.000,1132616.000,1064267.000,1037240.000,1136249.000,519,413,1010,106,218,1228,0,0,0,0,0,0,0,363,314,49,604154,607446,712400,777992,895151,957175,1182178,1297152,1587418,1728552,974163,1161149,1011204,0.691,,1008673,Centro de Formación Técnica
Administración y Comercio,Técnico en Administración Financiera y Finanzas,0.809,0.797,1233962,4.60,6.00,,,,,,,,,,,1,0.00000,2.00000,1.00000,3.00000,9,1,9,1,,,,,,,,,,,,,,,,0,0,4,0,4,8,0,0,0,0,0,0,0,86,43,43,642926,591189,994740,805636,1219216,1048509,1397132,1314782,2247518,1752210,1295939,1327012,1345145,0.563,,1252038,Centro de Formación Técnica
Ciencias Sociales,Técnico en Administración Pública o Municipal,0.743,0.784,1298737,5.00,5.60,0.793,0.794,0.677,0.761,0.768,0.894,0.840,0.807,0.712,0.812,1,50.00000,898.00000,21.00000,788.00000,10,5,10,1,,,,,,,,,,,1175162.000,1324227.000,1375289.000,1311427.000,1234720.000,1242,935,1864,307,683,2547,0,0,0,0,0,0,0,452,343,109,604051,718208,685075,916595,906042,1171554,1198803,1672919,1607091,2056503,1061381,1366383,1127267,0.645,,1207582,Centro de Formación Técnica
Administración y Comercio,Técnico en Comercio Exterior,0.746,0.763,1176620,4.50,6.90,0.655,0.680,0.776,0.737,0.729,0.711,0.772,0.793,0.753,0.756,1,48.00000,340.00000,72.00000,596.00000,11,1,11,1,,,,,,,,,,,1231966.000,1214131.000,1184596.000,1153803.000,1188367.000,683,412,743,271,514,1257,0,0,0,0,0,0,0,334,190,144,648584,711504,760117,875283,966256,1121893,1282534,1459894,1736029,1987481,1024402,1274967,1092165,0.674,,1122974,Centro de Formación Técnica
Tecnología,Técnico en Computación e Informática,0.665,0.770,1560874,4.50,7.10,0.650,0.663,0.717,0.655,0.635,0.734,0.754,0.823,0.772,0.744,1,215.00000,2241.00000,237.00000,2749.00000,12,10,12,1,,,,,,,,,,,1583102.000,1471266.000,1515520.000,1600204.000,1561288.000,2871,501,944,2370,4970,5914,0,0,0,0,0,0,0,1276,175,1101,588571,684419,685054,957156,884536,1446515,1166296,2176641,1773434,3080814,1070899,1676016,1223995,0.690,,1400911,Centro de Formación Técnica
Tecnología,Técnico en Construcción y Obras Civiles,0.644,0.669,1237890,4.50,6.70,0.535,0.656,0.662,0.620,0.649,0.613,0.658,0.729,0.639,0.646,1,202.00000,1689.00000,40.00000,1617.00000,13,10,13,1,,,,,,,,,,,1198697.000,1232341.000,1235260.000,1220721.000,1265686.000,2033,373,702,1660,3445,4147,0,0,0,0,0,0,0,1314,276,1038,594278,612192,717642,800160,988839,1100178,1414858,1556050,2036719,2168328,1141726,1348676,1157125,0.611,,1196222,Centro de Formación Técnica
